state/district,TOTAL 2012,Republican % 2012,REPUBLICAN 2012,Democrat % 2012,DEMOCRAT 2012,OTHER 2012,Comp. 2012,TOTAL 2016,Republican % 2016,REPUBLICAN 2016,Democrat % 2010,DEMOCRAT 2016,OTHER 2016,Comp. 2016,TOTAL 2020,Republican % 2020,REPUBLICAN 2020,Democrat % 2020,DEMOCRAT 2020,OTHER 2020,Comp. 2020,Min(Comp),Max(Comp),StdDev(Comp),Mean(Comp),Prediction(538) Republican,Prediction(538) Democrat,Prediction(538) Other,Predicted_Comp
ALABAMA 1,200676,0.978562459,196374,0,0,4302,0.978562459,215893,0.963824672,208083,0,0,7810,0.963824672,329075,0.643698245,211825,0.35538707,116949,301,0.643698245,0.643698245,0.978562459,0.154499972,0.862028459,0.99,0.01,0,0.99
ALABAMA 2,283953,0.635989055,180591,0.363060084,103092,270,0.635989055,276584,0.487685477,134886,0.405262054,112089,29609,0.487685477,303569,0.652227335,197996,0.346827245,105286,287,0.652227335,0.487685477,0.652227335,0.074035769,0.591967289,0.99,0.01,0,0.99
ALABAMA 3,273930,0.639966415,175306,0.358270361,98141,483,0.639966415,287104,0.669318435,192164,0.329319689,94549,391,0.669318435,322234,0.674615342,217384,0.324593308,104595,255,0.674615342,0.639966415,0.674615342,0.015239373,0.661300064,0.99,0.01,0,0.99
ALABAMA 4,269118,0.739716407,199071,0.259016491,69706,341,0.739716407,239444,0.985303453,235925,0,0,3519,0.985303453,318029,0.82241871,261553,0.176829786,56237,239,0.82241871,0.739716407,0.985303453,0.102026199,0.84914619,0.99,0.01,0,0.99
ALABAMA 5,291293,0.649466345,189185,0.349380177,101772,336,0.649466345,308326,0.666979107,205647,0.331577616,102234,445,0.666979107,264160,0.958108722,253094,0,0,11066,0.958108722,0.649466345,0.958108722,0.14154829,0.758184724,1,0,0,1
ALABAMA 6,308102,0.711653933,219262,0.286486294,88267,573,0.711653933,329306,0.744939357,245313,0.254198223,83709,284,0.744939357,282261,0.971299613,274160,0,0,8101,0.971299613,0.711653933,0.971299613,0.115355857,0.809297634,0.99,0,0.01,0.99
ALABAMA 7,306558,0.24085165,73835,0.758486159,232520,203,0.758486159,233028,0,0,0.984130662,229330,3698,0.984130662,232331,0,0,0.9716396,225742,6589,0.9716396,0.758486159,0.984130662,0.103551307,0.904752141,0,1,0,1
ALASKA 0,289804,0.639383859,185296,0.286148569,82927,21581,0.639383859,308198,0.503208976,155088,0.360219729,111019,42091,0.503208976,353165,0.544012006,192126,0.452638285,159856,1183,0.544012006,0.503208976,0.639383859,0.05706164,0.562201614,0.79,0.21,0,0.79
ARIZONA 1,251595,0.451495459,113594,0.487982671,122774,15227,0.487982671,280710,0.433703822,121745,0.506640305,142219,16746,0.506640305,365178,0.483898263,176709,0.516101737,188469,0,0.516101737,0.487982671,0.516101737,0.011682408,0.503574904,0.12,0.88,0,0.88
ARIZONA 2,292279,0.495704447,144884,0.504100534,147338,57,0.504100534,315679,0.569584926,179806,0.430415074,135873,0,0.569584926,381054,0.448689687,170975,0.550958657,209945,134,0.550958657,0.504100534,0.569584926,0.027549606,0.541548039,0.03,0.97,0,0.97
